ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.21.102.95","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","75","2","2024-04-05T04:00:14.502Z","100","6802","6802"
"119.130.165.4","elite","AS4134","CN","Chinanet","229","Chinanet GD","38801","socks5","706","1","2024-04-05T04:00:14.409Z","46","3145","6820"
"200.41.148.2","elite","AS10834","AR","Telefonica de Argentina","218","Telefonica de Argentina","12000","socks4","70","2","2024-04-05T04:00:14.202Z","83","5463","6588"
"45.7.210.200","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","291","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","74","1","2024-04-05T04:00:14.103Z","99","6794","6830"
"38.131.32.78","elite","AS14726","US","Chisholm Broadband LLC","118","Chisholm Broadband","5678","socks4","69","3","2024-04-05T04:00:14.906Z","95","6465","6782"
"61.133.66.69","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","188","N/A","9002","http","799","76593","2024-04-05T04:00:14.111Z","92","24","26"
"44.190.9.101","elite","AS15102","US","Xplore Inc.","131","Amateur Radio Digital Communications","48100","socks4","72","74","2024-04-05T04:00:14.100Z","99","6678","6718"
"193.107.169.222","elite","AS50648","UA","PE UAinet","82","PE UAinet","5678","socks4","67","82","2024-04-05T04:00:14.304Z","100","6750","6780"
"138.36.151.11","elite","AS263729","AR","Pedraza Luis Eduardo","290","Pedraza Luis Eduardo","8090","socks5","4208","67","2024-04-05T04:00:14.201Z","99","6709","6757"
"186.219.96.12","elite","AS262420","BR","Cabonnet Internet Ltda","203","Cabonnet Internet Ltda","52017","socks4","208","1","2024-04-05T04:00:14.314Z","99","6631","6712"
"177.12.177.2","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","194","Linkli Telecomunicacoes Ltda","4153","socks4","1597","1","2024-04-05T04:00:14.217Z","100","6791","6806"
"118.173.233.39","elite","AS23969","TH","TOT Public Company Limited","185","TOT Public Company Limited","4898","socks4","76","3","2024-04-05T04:00:14.317Z","4","258","6776"
"45.112.125.57","elite","AS58369","ID","FIBERNET","296","N/A","4145","socks4","74","2","2024-04-05T04:00:14.817Z","99","6706","6776"
"109.73.181.155","elite","AS49924","IT","ECROM-MAIN","53","N/A","4145","socks4","70","1","2024-04-05T03:58:34.917Z","59","3921","6590"
"45.172.108.53","elite","AS265741","AR","GPS SANJUAN SRL.","237","N/A","9991","socks4","1494","1","2024-04-05T03:58:34.827Z","84","5629","6691"
"43.134.183.120","elite","AS132203","SG","Aceville Pte.ltd","390","N/A","443","socks4","72","2","2024-04-05T03:58:34.832Z","85","5748","6766"
"5.189.140.102","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","7497","socks5","4609","1","2024-04-05T03:58:34.828Z","100","6651","6681"
"66.42.63.207","elite","AS20473","SG","Choopa","159","N/A","13802","socks5","5898","43","2024-04-05T03:58:34.825Z","98","6636","6743"
"95.179.232.45","elite","AS20473","GB","The Constant Company, LLC","9","Vultr Holdings LLC London","15737","socks5","69","2","2024-04-05T03:58:34.900Z","91","6108","6682"
"165.227.82.7","elite","AS14061","US","DigitalOcean, LLC","84","DigitalOcean, LLC","24668","socks5","76","3","2024-04-05T03:58:34.909Z","100","6721","6734"
"147.161.166.35","elite","AS62044","GB","Zscaler LON3","9","Zscaler, Inc.","10326","socks4","75","2","2024-04-05T03:58:34.003Z","97","6498","6715"
"185.25.119.98","elite","AS200000","UA","Hosting Ukraine LTD","41","new Hosting","43725","socks5","72","1","2024-04-05T03:58:34.906Z","100","6611","6615"
"45.7.177.85","elite","AS266626","BR","Litoral Telecom","207","Litoral Telecom","52246","socks4","72","2","2024-04-05T03:58:34.823Z","61","4145","6798"
"67.73.141.150","elite","AS3549","AR","Level 3 Communications, Inc.","242","N/A","3549","socks4","302","3","2024-04-05T03:58:34.912Z","97","6533","6708"
"101.51.105.2","elite","AS23969","TH","TOT Public Company Limited","293","TOT Public Company Limited","4145","socks4","75","2","2024-04-05T03:58:34.833Z","38","2586","6735"
"45.112.125.53","elite","AS58369","ID","FIBERNET","301","N/A","4145","socks4","2791","2","2024-04-05T03:58:33.911Z","99","6604","6672"
"31.170.19.233","elite","AS42099","LV","DNET ITRisinajumi Ltd.","80","Sia Nano IT","4153","socks4","76","2","2024-04-05T03:58:33.800Z","100","6758","6791"
"163.172.144.132","elite","AS12876","FR","Online S.A.S.","2","ONLINE","16379","socks5","1304","1","2024-04-05T03:58:33.712Z","100","59","59"
"79.154.160.181","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","23","N/A","4145","socks4","76","2","2024-04-05T03:58:33.917Z","100","6723","6726"
"81.170.248.182","elite","AS8473","SE","Bahnhof AB","32","General Corporate NET A980","39880","socks5","3102","2","2024-04-05T03:58:33.818Z","100","6715","6719"
